Nama Produk;Harga;Diskon;Harga Sebelum Diskon;Lokasi;Toko;Rating;Terjual;Estimasi Terjual;Jenis;Proses;Origin;Negara;Jumlah gram
Kopi Arabika Aceh Gayo - Roasted Bean - 200 Gram - COARSE;46000;0;46000;Medan;Hatana Coffee;5.0;250+;250;Arabika;Other;Gayo;Lokal;200
Kopi Arabika Aceh Gayo 1 KG - Commercial Grade - WHOLE BEAN;160000;0;160000;Medan;Hatana Coffee;4.9;1 rb+;1000;Arabika;Other;Gayo;Lokal;1000
Kopi Robusta Aceh Gayo - Roasted Bean - 1 KG - WHOLE BEAN;104500;0;104500;Medan;Hatana Coffee;4.9;500+;500;Robusta;Other;Gayo;Lokal;1000
Kopi Arabika Ethiopia Yirgacheffe 200 gram Specialty Coffee Biji Kopi;158000;0;158000;Bandung;Fugol Coffee;5.0;500+;500;Arabika;Other;Yirgacheffe;Internasional;200
Kopi [Biji/Bubuk] Arabika Aceh Gayo WINE Kualitas Mantap;78750;0;78750;Jakarta Barat;WATERGROUND COFFEE;4.8;100+;100;Arabika;Wine;Gayo;Lokal;Other
Kopi arabika Drip bag coffee 10 gr - ( pilih 3 origin );28000;0;28000;Bandung;Fugol Coffee;5.0;1 rb+;1000;Arabika;Other;Other;Other;Other
TANAMERA COFFEE - Espresso Blend / Kopi Arabika 250 Gram 3 Varian;133285;5;140300;Jakarta Selatan;H Mart Official Shop;4.8;100+;100;Blend;Other;Blend;Other;250
KOPI ARABIKA MALABAR 200gr FULL WASHED (BIJI / BUBUK) - FUGOL COFFEE;73000;0;73000;Bandung;Fugol Coffee;5.0;750+;750;Arabika;Wash;Malabar;Lokal;200
Kopi Cap Bis Kota (ARABIKA) 250 Gr;55500;0;55500;Jakarta Timur;Toko Acong 12;4.9;1 rb+;1000;Arabika;Other;Other;Other;250
Kopi Arabika Tanamera Coffee Espresso Blend 250 Gr;150100;5;158000;Tangerang Selatan;Tanamera Coffee;5.0;7 rb+;7000;Blend;Other;Blend;Other;250
ARUTALA Kopi Flores Bajawa Arabika Arabica Coffee 500 Gram;150999;22;193750;Tangerang;Arutala Online Co.;4.9;750+;750;Arabika;Other;Flores;Lokal;500
Kopi Arabika Tanamera Coffee Espresso Blend 1 Kg;396000;0;396000;Tangerang Selatan;Tanamera Coffee;5.0;3 rb+;3000;Blend;Other;Blend;Other;1000
Kopi Arabika Tanamera Coffee Premium Blend;180000;0;180000;Tangerang Selatan;Tanamera Coffee;5.0;3 rb+;3000;Blend;Other;Blend;Other;Other
Kopi Arabika Sulawesi: Toraja Sapan;156750;5;165000;Tangerang Selatan;Tanamera Coffee;5.0;750+;750;Arabika;Other;Toraja;Lokal;Other
Kopi Arabika Tanamera Coffee Espresso Blend 100Gr;81900;10;91000;Tangerang Selatan;Tanamera Coffee;5.0;1 rb+;1000;Blend;Other;Blend;Other;100
Kopi Aroma Mocca Arabika Bandung;50000;0;50000;Kab. Bandung Barat;Mama Chiara Shop;4.9;10 rb+;10000;Arabika;Other;Other;Other;Other
Kopi Arabika/Robusta Toraja Blend (Bubuk/Biji) 250GR;65000;0;65000;Makassar;Malotong Toraja Coffee;4.9;1 rb+;1000;Blend;Other;Blend;Other;250
KOPI ARABIKA - KOPI GUNUNG HALU 200GR BIJI / KOPI BUBUK | Kopi Arabica;59500;0;59500;Kab. Bandung;Amesco Coffee;4.9;80+;80;Arabika;Other;Halu;Lokal;200
Kopi Arabika Yirgacheffe Ethiopia 100 Gr - Bean/Biji & Ground/Bubuk - Bean - Biji;46500;0;46500;Tangerang;Caffeine Dope;5.0;90+;90;Arabika;Other;Yirgacheffe;Internasional;100
